accuracy,f1,n_estimators,max_depth,min_samples_leaf,bootstrap,criterion,predictors,predictor importances,Random Sampling
0.8157252374232427,0.794335748936862,160,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005986057593155377, 0.47271208858816566, 0.48511676659812514, 0.03618508722055376]",0.0
0.815687097143293,0.7942504200911134,170,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005983065657829811, 0.474930453099752, 0.4828068138149817, 0.036279667427436484]",0.0
0.8154582554635951,0.7940031118704801,180,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005979490844505997, 0.471452188723283, 0.4862879711969313, 0.03628034923527977]",0.0
0.8156489568633434,0.7940547064789469,50,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0060013077344562744, 0.47524569051468, 0.48186273962710263, 0.03689026212376105]",0.0
0.8158587284030665,0.7943954799003218,55,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0059799963015751125, 0.47020601031889975, 0.4870704644518014, 0.03674352892772366]",0.0
0.8158205881231169,0.7943877610577574,60,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.006004022047923403, 0.4731914410483809, 0.48413450509453054, 0.03667003180916521]",0.0
0.8155536061634693,0.793789420762282,65,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005975341895747887, 0.47899606988099724, 0.4782927062794843, 0.036735881943770615]",0.0
0.8156298867233686,0.7940673263060084,70,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005934999929141282, 0.48092841130776304, 0.47663477504196444, 0.03650181372113132]",0.0
0.8148480109844006,0.7922322727183965,50,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004654963062706534, 0.4695232338055312, 0.49103098945342194, 0.034790813678340415]",0.0
0.8151912735039475,0.7927037391803403,55,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004703781956750514, 0.4647677919403979, 0.49621987479760354, 0.034308551305248035]",0.0
0.8151912735039475,0.7926620547200446,60,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004695553818118049, 0.46724709715144114, 0.49391373182696374, 0.034143617203477146]",0.0
0.8154963957435447,0.7932426684975286,65,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004743758644646818, 0.4725561408503773, 0.4885230202173592, 0.03417708028761664]",0.0
0.8154963957435447,0.793273029709265,70,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004783306607704822, 0.47524824445182007, 0.48589536087490176, 0.034073088065573305]",0.0
0.8150959228040734,0.7935990997868992,50,13,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.007302855171143955, 0.46819193074744025, 0.4859837898024525, 0.03852142427896335]",0.0
0.8150959228040734,0.7935796962391919,55,13,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.007325923100945295, 0.4638333510103082, 0.49051756852906164, 0.03832315735968489]",0.0
0.8152103436439223,0.7925942011331442,50,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004896945361064102, 0.4786016727240791, 0.4821835788345745, 0.034317803080282094]",0.0
0.8154773256035699,0.793096496116252,55,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004920246243895644, 0.470574296757478, 0.4899157364326855, 0.03458972056594089]",0.0
0.8154963957435447,0.7933021882231748,60,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004894550838263645, 0.4717540898580948, 0.4886417674860457, 0.03470959181759588]",0.0
0.8131316983866662,0.7900024074569919,84,10,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0036668831388648945, 0.4735939399187444, 0.49064471744175914, 0.032094459500631584]",0.0
0.8153438346237462,0.7932271650477893,84,11,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.004819205637179793, 0.4831168665322016, 0.4773414452662069, 0.0347224825644117]",0.0
0.8154582554635951,0.7938449879455597,84,13,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.007389555481303012, 0.47077498300787546, 0.482900076488326, 0.03893538502249567]",0.0
0.8147145200045768,0.7932728226263045,84,14,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.008858197511255054, 0.47455395599953576, 0.4753700445469649, 0.041217801942244336]",0.0
0.8150577825241238,0.7932966963763478,84,12,3,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.006005259440960713, 0.4786764359629104, 0.4790997363187378, 0.03621856827739116]",0.0
0.8153247644837713,0.7935544344405419,84,12,5,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0059381729486452746, 0.4735655559945782, 0.48447063640368476, 0.03602563465309169]",0.0
0.8336235224876158,0.8136766240800715,84,12,4,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.009335573388704131, 0.44270865021583206, 0.5095076562824964, 0.03844812011296746]",1.0
0.8354211021438828,0.8156482859653885,84,12,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.00993914294034839, 0.4414533454394729, 0.5084783909256909, 0.040129120694487895]",1.0
0.8278704758132396,0.8049654016986015,84,9,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0044557885422191355, 0.45009035279309, 0.5136851935941003, 0.03176866507059068]",1.0
0.8308288359657375,0.809941701034949,84,10,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005950713692837171, 0.44833346359604404, 0.5117663873475706, 0.033949435363548094]",1.0
0.833032133485171,0.8129978270152809,84,11,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.008043310923755329, 0.44922971819897595, 0.5054195732514599, 0.037307397625808904]",1.0
0.8378843392583057,0.8187144066575377,84,13,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.012815173381469628, 0.4418642391073351, 0.5000721862555086, 0.04524840125568673]",1.0
0.8414244689805417,0.8228602634453542,84,14,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.01569987791879762, 0.43220282900203477, 0.5013234899825398, 0.05077380309662785]",1.0
0.8456825271079863,0.8280988992319037,84,15,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.019003654706439006, 0.42807997903525224, 0.4952817268769089, 0.05763463938139975]",1.0
0.844364062958256,0.8261869711186107,84,15,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.018663987686080602, 0.43387646228119003, 0.4900747967030329, 0.05738475332969638]",2.0
0.8474035393095445,0.8284373670243029,84,15,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.017959836874446678, 0.43677682278753394, 0.48933676584058367, 0.055926574497435655]",3.0
0.8419640266898752,0.822195617158235,84,14,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.01478158766632432, 0.4497323467632424, 0.4865581560399926, 0.0489279095304407]",3.0
0.8522991006672469,0.8341309459916063,84,16,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.021054840923737956, 0.4494367627758874, 0.4669202834559957, 0.062588112844379]",3.0
0.859769364664926,0.8427235483267906,84,17,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0244413107269595, 0.42964234250635225, 0.4741186057417965, 0.0717977410248918]",3.0
0.8689621409921671,0.8534287446401977,84,18,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.027301943599282882, 0.4248943549359684, 0.46788565010032296, 0.07991805136442584]",3.0
0.8770488830867421,0.8629243106633552,84,19,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.030520295630684462, 0.4239596441708174, 0.4559659993419207, 0.08955406085657744]",3.0
0.8849905715114592,0.8729223542898008,84,20,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.03298606469865895, 0.42139827135549207, 0.44768531076287593, 0.09793035318297304]",3.0
0.8937844502465913,0.8834873431901102,84,21,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.034865716198924174, 0.41715744046524816, 0.44164086231372834, 0.10633598102209925]",3.0
0.9000217580504787,0.891314043279989,84,22,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.036848910850172736, 0.40478135159775314, 0.4434509101176823, 0.11491882743439191]",3.0
0.9060414853495792,0.8988036248178737,84,23,1,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0382775216010951, 0.4034500935706246, 0.4362649659490385, 0.12200741887924162]",3.0
